symbol,name
CHENNPETRO.NS,Chennai Petroleum Corporation Limited
CHEVIOT.NS,Cheviot Company Limited
CHOICEIN.NS,Choice International Limited
CHOLAFIN.NS,Cholamandalam Investment And Finance Company Limited
CHOLAHLDNG.NS,Cholamandalam Financial Holdings Limited
CIEINDIA.NS,Cie Automotive India Limited
CIFL.NS,Capital India Finance Limited
CIGNITITEC.NS,Cigniti Technologies Limited
CINELINE.NS,Cineline India Limited
CINEVISTA.NS,Cinevista Limited
CIPLA.NS,Cipla Limited
CLEAN.NS,Clean Science And Technology Limited
CLEDUCATE.NS,Cl Educate Limited
CLSEL.NS,Chaman Lal Setia Exports Limited
CMICABLES.NS,Cmi Limited
CMSINFO.NS,Cms Info Systems Limited
CNL.NS,Creative Newtech Limited
COALINDIA.NS,Coal India Limited
COASTCORP.NS,Coastal Corporation Limited
COCHINSHIP.NS,Cochin Shipyard Limited
COFFEEDAY.NS,Coffee Day Enterprises Limited
COFORGE.NS,Coforge Limited
COHANCE.NS,Cohance Lifesciences Limited
COLPAL.NS,Colgate Palmolive (India) Limited
COMPINFO.NS,Compuage Infocom Limited
COMPUSOFT.NS,Compucom Software Limited
COMSYN.NS,Commercial Syn Bags Limited
CONCOR.NS,Container Corporation Of India Limited
CONCORDBIO.NS,Concord Biotech Limited
CONFIPET.NS,Confidence Petroleum India Limited
CONSOFINVT.NS,Consolidated Finvest & Holdings Limited
CONTROLPR.NS,Control Print Limited
CORALFINAC.NS,Coral India Finance & Housing Limited
CORDSCABLE.NS,Cords Cable Industries Limited
COROMANDEL.NS,Coromandel International Limited
CORONA.NS,Corona Remedies Limited
COSMOFIRST.NS,Cosmo First Limited
COUNCODOS.NS,Country Condo'S Limited
CPCAP.NS,Cp Capital Limited
CPEDU.NS,Career Point Edutech Limited
CPPLUS.NS,Aditya Infotech Limited
CRAFTSMAN.NS,Craftsman Automation Limited
CRAMC.NS,Canara Robeco Asset Management Company Limited
CREATIVEYE.NS,Creative Eye Limited
CREDITACC.NS,Creditaccess Grameen Limited
CREST.NS,Crest Ventures Limited
CRISIL.NS,Crisil Limited
CRIZAC.NS,Crizac Limited
CROMPTON.NS,Crompton Greaves Consumer Electricals Limited
CROWN.NS,Crown Lifters Limited
CSBBANK.NS,Csb Bank Limited
CSLFINANCE.NS,Csl Finance Limited
CTE.NS,Cambridge Technology Enterprises Limited
CUB.NS,City Union Bank Limited
CUBEXTUB.NS,Cubex Tubings Limited
CUMMINSIND.NS,Cummins India Limited
CUPID.NS,Cupid Limited
CURAA.NS,Cura Technologies Limited
CYBERMEDIA.NS,Cyber Media (India) Limited
CYBERTECH.NS,Cybertech Systems And Software Limited
CYIENT.NS,Cyient Limited
CYIENTDLM.NS,Cyient Dlm Limited
DABUR.NS,Dabur India Limited
DALBHARAT.NS,Dalmia Bharat Limited
DALMIASUG.NS,Dalmia Bharat Sugar And Industries Limited
DAMCAPITAL.NS,Dam Capital Advisors Limited
DAMODARIND.NS,Damodar Industries Limited
DANGEE.NS,Dangee Dums Limited
DATAMATICS.NS,Datamatics Global Services Limited
DATAPATTNS.NS,Data Patterns (India) Limited
DAVANGERE.NS,Davangere Sugar Company Limited
DBCORP.NS,D.B.Corp Limited
DBEIL.NS,Deepak Builders & Engineers India Limited
DBL.NS,Dilip Buildcon Limited
DBOL.NS,Dhampur Bio Organics Limited
DBREALTY.NS,Valor Estate Limited
DBSTOCKBRO.NS,Db (International) Stock Brokers Limited
DCAL.NS,Dishman Carbogen Amcis Limited
DCBBANK.NS,Dcb Bank Limited
DCI.NS,Dc Infotech And Communication Limited
DCM.NS,Dcm  Limited
